ut,surf_speed,mean_altitude,g_force,aoa,sideslip,atmosphere_density,dynamic_pressure
659.0579284665441,0.0027306030016045002,76.6273522748379,0.9948829412460327,-3.1341211795806885,-0.14758621156215668,1.1139975786209106,4.147003892285284e-06
660.0979284665432,0.002729571929968748,76.62735194317065,0.9948825836181641,-3.0606679916381836,-0.13150276243686676,1.1139960289001465,4.149948836129624e-06
661.1179284665423,0.0027353535283964467,76.62735207844526,0.9948834180831909,-3.2176434993743896,-0.12247167527675629,1.1139945983886719,4.16754210164072e-06
662.1379284665413,0.0027319561296919757,76.6273522748379,0.9948843717575073,-3.0931262969970703,-0.11723898351192474,1.1139930486679077,4.1571902329451405e-06
663.1579284665404,0.0027326629071369184,76.62735227472149,0.9948835968971252,-3.121178388595581,-0.1586504876613617,1.1139914989471436,4.159336185693974e-06
664.1779284665395,0.0027282229065083404,76.6273520042887,0.9948831796646118,-3.0349819660186768,-0.10275806486606598,1.1139899492263794,4.145825187151786e-06
665.1979284665385,0.0027315536418506202,76.6273522748379,0.994884192943573,-3.0957388877868652,-0.1411074995994568,1.1139885187149048,4.15594877267722e-06
666.2179284665376,0.002727750688039287,76.6273521395633,0.9948834180831909,-3.0196104049682617,-0.09315114468336105,1.1139870882034302,4.144379090575967e-06
667.2379284665367,0.002732859264220482,76.6273522748379,0.9948847889900208,-3.0781381130218506,-0.14783890545368195,1.113985538482666,4.159911441092845e-06
668.2579284665358,0.0027325559860406196,76.6273521395633,0.9948846101760864,-3.171201467514038,-0.12158587574958801,1.1139839887619019,4.158982392254984e-06
669.2379284665349,2.632735851755569,77.3850742096547,1.4669133424758911,8.318404197692871,0.26788103580474854,1.1138863563537598,3.8603391647338867
670.217928466534,8.234021708333483,82.40829086501617,1.6774235963821411,7.107133388519287,0.22990404069423676,1.1131937503814697,39.13435363769531
671.257928466533,19.57378488415001,96.42839209898375,2.1875040531158447,4.402596473693848,0.14282207190990448,1.1113371849060059,212.89500427246094
672.2379284665321,31.23995859444229,121.08408286853228,2.2051806449890137,2.090376615524292,0.06676410883665085,1.1080197095870972,540.6776123046875
673.2579284665312,43.64872567002282,158.69672102318145,2.224102020263672,-0.42020657658576965,1.4343267679214478,1.1029635667800903,1050.689208984375
674.2579284665303,55.523035766695045,207.08015568216797,2.2511489391326904,-0.5162232518196106,10.945055961608887,1.0964808464050293,1690.1197509765625
675.2779284665294,68.25033385140026,267.2946250709938,2.252526044845581,3.7772586345672607,-1.2838443517684937,1.0884594917297363,2535.0810546875
676.2179284665285,80.27264952874137,333.5088174305856,2.263575553894043,2.3837945461273193,-2.459855318069458,1.0797024965286255,3478.638427734375
677.2179284665276,93.34093143233947,415.3742669596104,2.2817416191101074,0.29456761479377747,-2.8045170307159424,1.0689653158187866,4656.69580078125
678.2379284665267,106.87953236263112,510.67212854209356,2.290309190750122,4.25977897644043,-1.4216808080673218,1.056592345237732,6034.85107421875
679.2579284665258,120.30695147574882,618.20913869387,2.2917263507843018,0.6906951665878296,-6.8185038566589355,1.042796015739441,7546.5908203125
680.2979284665248,134.26932798525652,740.1760458846111,2.32521390914917,1.720150113105774,-1.9161739349365234,1.0273542404174805,9260.7001953125
681.3179284665239,148.16503651742204,872.0438587764511,2.3219428062438965,4.211853504180908,-4.789083003997803,1.0109062194824219,11096.150390625
682.3579284665229,162.66771172972065,1019.4690446683671,2.361011028289795,1.679558515548706,-2.679060220718384,0.9928125739097595,13135.2998046875
683.357928466522,176.87471852312933,1173.2990928866202,2.3633949756622314,0.8579316139221191,-5.841937065124512,0.9742600321769714,15239.7001953125
684.3779284665211,191.77654845236526,1342.2616184086073,2.4231786727905273,-0.06646987050771713,-2.897388219833374,0.954256534576416,17547.939453125
685.3979284665202,205.9213558972966,1523.002195367706,2.416917085647583,0.08169464766979218,-1.5664010047912598,0.9332851767539978,19787.328125
686.4179284665192,221.5670980263636,1715.848759361892,2.4615848064422607,0.10056886821985245,-3.3243136405944824,0.9113820791244507,22370.775390625
687.3979284665184,236.86445875761433,1912.6214101482183,2.4539008140563965,1.086197018623352,-4.245025157928467,0.8895224332809448,24953.2265625
688.3779284665175,251.74210069653557,2120.967211207142,2.471550703048706,3.582043409347534,-0.50709068775177,0.8669028282165527,27469.5859375
689.3979284665165,267.86260416444287,2350.7068150645355,2.4818897247314453,4.833676338195801,0.25844529271125793,0.8425638675689697,30227.13671875
690.4179284665156,282.6486449170199,2593.715685641044,2.516631841659546,3.1142117977142334,-7.002148628234863,0.8174891471862793,32654.708984375
691.3979284665147,297.62581816731864,2839.647127634147,2.517314910888672,4.398779392242432,0.7635203003883362,0.7927888631820679,35113.06640625
692.3379284665139,312.21354067337455,3087.555699338671,2.4978010654449463,5.438554286956787,-0.8597438335418701,0.7685553431510925,37458.34765625
693.3579284665129,325.82287754539635,3370.1185094761895,2.376866579055786,4.84808349609375,-1.0888035297393799,0.7417194843292236,39370.67578125
694.357928466512,341.49010992437064,3660.6435175210936,2.475193977355957,0.09251862019300461,0.3329050540924072,0.7149650454521179,41688.0
695.3779284665111,351.883803827304,3966.8168146390235,1.8033959865570068,0.9482109546661377,0.22341226041316986,0.6876428723335266,42572.73046875
696.3579284665102,359.3164163083205,4266.44180896203,1.4839736223220825,0.6487472653388977,-0.11068923771381378,0.6617464423179626,42718.47265625
697.3379284665093,365.55494891171884,4569.366925553535,1.487473964691162,0.9230712056159973,-0.17118793725967407,0.6363792419433594,42519.8125
698.3179284665084,371.8734454848692,4875.431575435796,1.4915826320648193,1.1689497232437134,-0.19861558079719543,0.6115493178367615,42285.53125
